level_0,index,Name,State,EconomyRanking,Economy,SafetyRanking,Safety,Magnitude,Income,CostOfLiving,StateCOL,Crime,Population,RelocationNumber,COLIsEstimated,IncomeRanking,COLRanking,CrimeRanking,PopulationRanking,CityPreference,NameOfPerson,CityChosen,StateOfCityChosen
323,1006,Bridgeport,CT,105.0,755.6950824096491,1782.0,11.368550368550368,1785.0907539954376,92497,122.3998966687188,119.5,12210,138810,217.0,T,46.5,2629.0,2597.0,119.0,1,Travis Martinez,Truckee,CA
775,1821,Moulton,AL,2343.0,371.6544226338452,956.0,18.105555555555554,2530.5305767763407,33551,90.27472285202568,88.6,180,3259,5.0,T,2391.0,271.0,553.0,2293.0,2,Erika Lee,Stamford,CT
627,1813,Springfield,MA,882.0,552.1502347417841,2367.0,7.979007238883144,2525.9875296604296,58804,106.5,132.5,19340,154314,241.0,F,568.0,2394.0,2628.0,112.0,1,Dr. Rebecca Mcdaniel,Truckee,CA
705,1820,Iron River,MI,2339.0,371.986906262808,964.0,18.00632911392405,2529.8650161619294,33889,91.10266901721936,91.4,158,2845,4.0,T,2371.0,545.0,468.0,2450.0,2,Rebecca Mcconnell,Stamford,CT
229,983,Cloquet,MN,655.0,582.4294101786389,1641.0,12.36383207750269,1766.891620898124,56374,96.7911287012607,99.6,929,11486,18.0,T,682.0,1992.0,1724.0,1007.0,1,Andrea Lutz,Truckee,CA
416,2410,Lake Village,AR,2052.0,423.3355442426703,2277.0,8.459558823529411,3065.197057286856,38665,91.33416866559143,92.1,272,2301,4.0,T,2091.0,656.0,827.0,2611.0,2,Caleb Mendez,Stamford,CT
517,1534,Price,UT,1115.0,528.554883876585,2006.0,9.97375,2295.051415546065,50625,95.78002501594648,101.5,800,7979,12.0,T,1056.0,1871.0,1625.0,1327.0,2,Andrew Goodman,Stamford,CT
880,1579,Mansfield,PA,2333.0,372.9294030842673,18.0,204.125,2333.069437457874,34983,93.80595820731044,100.5,16,3266,5.0,T,2313.0,1509.0,20.0,2287.5,1,Jessica Williams,Truckee,CA
385,1007,Roanoke,AL,1723.0,463.584994964944,467.0,27.080645161290324,1785.1660987146263,41958,90.50767487237768,88.6,248,6716,11.0,T,1828.0,306.0,751.0,1505.0,1,Elizabeth Stanley,Truckee,CA
516,704,Charlotte,MI,586.0,593.7446315973275,1316.0,14.930743243243244,1440.5734969101716,55924,94.1886410821937,91.4,592,8839,14.0,T,706.0,1597.0,1412.5,1237.0,1,Stacey Mitchell,Truckee,CA
927,1408,Florence,AZ,2165.0,407.6615574541844,259.0,36.625,2180.437112140591,39063,95.82213305553137,107.0,576,21096,33.0,T,2061.0,1882.0,1391.0,637.0,1,Jodi Gross,Truckee,CA
127,236,Chelsea,MI,37.0,814.7024728493203,753.0,20.87190082644628,753.9084825096478,82074,100.7410714158709,91.4,242,5051,8.0,T,110.0,2235.0,732.0,1818.0,2,Kenneth Evans,Stamford,CT
260,1452,Baraboo,WI,919.0,547.5377399303566,2022.0,9.88095238095238,2221.0459247840868,51582,94.20720479753764,95.5,1134,11205,18.0,T,985.0,1602.0,1841.0,1025.0,2,Richard Hancock,Stamford,CT
967,1098,Hazleton,PA,1614.0,475.1618311083559,953.0,18.117696160267112,1874.354555573732,44863,94.4162537116106,100.5,1198,21705,34.0,T,1569.0,1658.0,1882.0,625.0,1,Leslie Williams,Truckee,CA
56,873,Antioch,CA,472.0,614.05041412113,1570.0,12.836224233283057,1639.415749588859,82388,134.17139392034971,146.9,7956,102125,160.0,T,109.0,2680.0,2528.0,173.0,2,Lori Montes,Stamford,CT
122,494,Thief River Falls,MN,1116.0,528.2897750082649,375.0,30.625,1177.319412903737,50254,95.1258237000968,99.6,280,8575,13.0,T,1088.0,1779.0,856.5,1267.0,1,Danielle Harrison,Truckee,CA
100,370,Morro Bay,CA,839.0,556.7841271029781,509.0,25.955,981.3266530569726,72691,130.5550867231452,146.9,400,10382,16.0,T,223.0,2662.0,1113.0,1091.0,2,Crystal Thompson,Stamford,CT
470,166,Sidney,MT,545.0,600.0064053390844,253.0,37.34615384615385,600.8610488290949,58781,97.96728747717422,100.8,130,4855,8.0,T,569.0,2092.0,354.0,1859.5,1,Jackie Brown,Truckee,CA
304,1409,Nicholasville,KY,1207.0,517.5863392776125,1817.0,11.15471394037067,2181.3615014481206,48122,92.97386029771025,93.9,2482,27686,43.0,T,1271.0,1304.0,2195.0,509.0,2,Kayla Ayala,Stamford,CT
30,929,Janesville,WI,368.0,634.7216035634744,1653.0,12.302087359876303,1693.4677440093153,56998,89.8,95.5,5174,63651,100.0,F,648.0,212.5,2426.0,272.0,1,Brian Richardson,Truckee,CA
231,2393,Hartsville,SC,1369.0,501.8271119208834,2715.0,3.917647058823529,3040.6226336064788,46661,92.98222214697007,94.8,1870,7326,11.0,T,1395.0,1307.0,2096.5,1415.5,2,Daniel Martinez,Stamford,CT
145,2679,Barnwell,SC,2535.0,330.6118844417974,2611.0,6.227212681638045,3639.168311578897,30523,92.32275497759194,94.8,757,4714,7.0,T,2542.0,1104.0,1585.5,1889.0,2,Ashley Johnson,Stamford,CT
782,629,Grand Forks,ND,840.0,556.7254685777287,1045.0,17.270139113555484,1340.7553841025588,50495,90.7,97.8,3091,53382,83.0,F,1067.0,370.5,2274.0,328.0,2,Michael Hinton,Stamford,CT
850,298,Social Circle,GA,774.0,566.3888712273953,354.0,31.545454545454547,851.1122135182881,52524,92.73487292604752,89.8,154,4858,8.0,T,904.0,1236.0,452.5,1857.0,2,Marcus Watson,Stamford,CT
820,178,Kemmerer,WY,598.0,591.5006279886877,188.0,42.71666666666667,626.8556452645219,56144,94.91790429861342,93.6,60,2563,4.0,T,697.0,1744.0,108.0,2552.0,2,Brittney Graves,Stamford,CT
64,1377,Allentown,PA,308.0,659.9797775530839,2124.0,9.294233570388142,2146.215273452316,65272,98.9,100.5,11671,108473,170.0,F,370.5,2131.5,2590.0,157.0,1,Melanie Harris,Truckee,CA
712,2162,Mount Union,PA,2176.0,404.7470079637093,1744.0,11.623115577889449,2788.6398118079,37977,93.82898267997852,100.5,199,2313,4.0,T,2150.0,1516.0,602.0,2610.0,2,Margaret Harrison,Stamford,CT
651,2415,Aurora,MO,2048.0,423.6628590947569,2291.0,8.3954802259887,3072.944028126773,38579,91.06061381550413,91.2,885,7430,12.0,T,2101.0,519.0,1699.0,1401.0,1,John Bruce,Truckee,CA
